,Media Outlet,Positive Score,Tweet Text,Compound Score,Negative Score,Neutral Score,Date
117,@CBS,0.275,".@ChrisStapleton, @ThomasRhett, @mirandalambert and more are all nominated for awards at Country Music's Party of t… https://t.co/Vm1vXRUDYJ",0.6908,0.0,0.725,Thu Mar 01 14:15:29 +0000 2018
118,@CBS,0.0,"The Queen of Country, @Reba, is returning to host the 53rd #ACMawards on Sunday, April 15 at 8/7c. Here are a few o… https://t.co/Iqzz6Gql01",0.0,0.0,1.0,Thu Mar 01 13:50:11 +0000 2018
119,@CBS,0.0,RT @survivorcbs: It’s time! #Survivor https://t.co/YPk6cGWrUA,0.0,0.0,1.0,Thu Mar 01 01:04:52 +0000 2018
120,@CBS,0.0,"RT @CBSThisMorning: TOMORROW: The nominees for the 2018 @ACMawards will be announced live by the one-and-only, @Reba! 

Watch on @CBS in ou…",0.0,0.0,1.0,Wed Feb 28 19:56:58 +0000 2018
121,@CBS,0.116,"RT @thegoodfight: From the set design and costumes to hair and makeup, the production quality is truly next-level. Take a peek inside the u…",0.4404,0.0,0.884,Wed Feb 28 19:08:30 +0000 2018
122,@CBS,0.152,RT @LivinBiblically: The fun continues on Facebook! The #LivingBiblically cast is live to talk about tonight’s premiere. Tune in here: http…,0.5562,0.0,0.848,Tue Feb 27 03:23:47 +0000 2018
123,@CBS,0.0,"RT @KevinCanWaitCBS: Can you get all the way through these #KevinCanWait bloopers without laughing?! @KevinJames,@LeahRemini and the rest o…",0.0,0.0,1.0,Mon Feb 26 22:50:32 +0000 2018
124,@CBS,0.0,"RT @ACMawards: That’s right! @Reba is headed to @CBSThisMorning on Thursday, March 1 to announce this year’s #ACMAwards' nominees. Tune in…",0.0,0.0,1.0,Mon Feb 26 21:08:30 +0000 2018
125,@CBS,0.105,"RT @ScorpionCBS: You can't hack your way to a 197 IQ, but you are well on your way with these Genius Facts from #TeamScorpion! 💻 You can be…",0.4482,0.0,0.895,Mon Feb 26 19:53:41 +0000 2018
126,@CBS,0.266,RT @SuperiorDonuts: You can always count on @DavidKoechner for a laugh! Did your favorite Tush moment make the list? Catch a new #SuperiorD…,0.784,0.0,0.734,Mon Feb 26 18:32:36 +0000 2018
127,@CBS,0.429,RT @TheTalkCBS: TODAY: We loved them together then &amp; we love seeing them together now! Welcome back to the show @THESaraGilbert​'s good fri…,0.9359,0.0,0.571,Mon Feb 26 18:20:16 +0000 2018
128,@CBS,0.0,"RT @thegoodfight: As foundations begin to crumble, our characters struggle to make sense of this new dystopian world. The cast teases what'…",-0.5423,0.184,0.816,Mon Feb 26 16:53:56 +0000 2018
